Time,Open,High,Low,Close
2021-06-01 09:20:00,1.41718,1.41803,1.41718,1.41802
2021-06-01 09:25:00,1.41803,1.4186,1.41799,1.41849
2021-06-01 09:30:00,1.4185,1.41869,1.41811,1.41858
2021-06-01 09:35:00,1.41859,1.41918,1.41833,1.41849
2021-06-01 09:40:00,1.41851,1.41899,1.41821,1.41832
2021-06-01 09:45:00,1.41832,1.41853,1.41796,1.41816
2021-06-01 09:50:00,1.41818,1.4183,1.41769,1.41769
2021-06-01 09:55:00,1.41769,1.41813,1.4171,1.4178
2021-06-01 10:00:00,1.41785,1.4192,1.41773,1.41788
2021-06-01 10:05:00,1.41787,1.41872,1.4178,1.41868
2021-06-01 10:10:00,1.41867,1.41867,1.41771,1.4178
2021-06-01 10:15:00,1.4178,1.41796,1.41676,1.4172
2021-06-01 10:20:00,1.4172,1.41784,1.41709,1.4177
2021-06-01 10:25:00,1.4177,1.41821,1.41759,1.41786
2021-06-01 10:30:00,1.41787,1.41845,1.41752,1.41833
2021-06-01 10:35:00,1.41831,1.41849,1.41771,1.41826
2021-06-01 10:40:00,1.41826,1.41886,1.41815,1.41817
2021-06-01 10:45:00,1.41819,1.41832,1.41772,1.4181
2021-06-01 10:50:00,1.4181,1.4185,1.41758,1.41762
2021-06-01 10:55:00,1.41765,1.41773,1.41689,1.41735
2021-06-01 11:00:00,1.41734,1.4177,1.41702,1.41729
2021-06-01 11:05:00,1.4173,1.4175,1.41687,1.41739
2021-06-01 11:10:00,1.41738,1.41757,1.41703,1.41748
2021-06-01 11:15:00,1.41749,1.41749,1.41692,1.41698
2021-06-01 11:20:00,1.41697,1.41752,1.41691,1.4172
2021-06-01 11:25:00,1.41719,1.41726,1.41647,1.41658
2021-06-01 11:30:00,1.41658,1.41682,1.41649,1.41678
2021-06-01 11:35:00,1.41679,1.41791,1.41677,1.41783
2021-06-01 11:40:00,1.41782,1.41803,1.41763,1.41801
2021-06-01 11:45:00,1.418,1.418,1.41739,1.41741
2021-06-01 11:50:00,1.4174,1.41745,1.41698,1.41699
2021-06-01 11:55:00,1.417,1.41703,1.41667,1.41668
2021-06-01 12:00:00,1.41667,1.41681,1.41647,1.4168
2021-06-01 12:05:00,1.4168,1.41687,1.41648,1.4165
2021-06-01 12:10:00,1.41651,1.41668,1.41644,1.41651
2021-06-01 12:15:00,1.41652,1.41664,1.41644,1.41661
2021-06-01 12:20:00,1.41663,1.41702,1.41653,1.41663
2021-06-01 12:25:00,1.41666,1.4168,1.41636,1.4164
2021-06-01 12:30:00,1.41639,1.4169,1.4161,1.41671
2021-06-01 12:35:00,1.41671,1.41675,1.41624,1.41624
2021-06-01 12:40:00,1.41625,1.41674,1.4162,1.4166
2021-06-01 12:45:00,1.41659,1.41672,1.41656,1.41656
2021-06-01 12:50:00,1.41655,1.41658,1.4163,1.41631
2021-06-01 12:55:00,1.41631,1.41639,1.41605,1.41608
2021-06-01 13:00:00,1.4161,1.41611,1.41586,1.41603
2021-06-01 13:05:00,1.41603,1.41615,1.41575,1.41611
2021-06-01 13:10:00,1.4161,1.41614,1.41587,1.416
2021-06-01 13:15:00,1.41601,1.41621,1.41601,1.41612
2021-06-01 13:20:00,1.41612,1.41614,1.41589,1.41604
2021-06-01 13:25:00,1.41604,1.41612,1.41557,1.41562
2021-06-01 13:30:00,1.41562,1.41571,1.41552,1.41562
2021-06-01 13:35:00,1.41563,1.41582,1.41552,1.41564
2021-06-01 13:40:00,1.41565,1.41565,1.41546,1.41559
2021-06-01 13:45:00,1.4156,1.41567,1.4155,1.41559
2021-06-01 13:50:00,1.41558,1.41565,1.41548,1.41552
2021-06-01 13:55:00,1.41552,1.4157,1.4155,1.41552
2021-06-01 14:00:00,1.41552,1.41564,1.4155,1.41559
2021-06-01 14:05:00,1.41558,1.41584,1.41551,1.41571
2021-06-01 14:10:00,1.41569,1.41585,1.41561,1.41564
2021-06-01 14:15:00,1.41564,1.41585,1.41556,1.41573
2021-06-01 14:20:00,1.41571,1.41579,1.41564,1.41579
2021-06-01 14:25:00,1.41577,1.41586,1.41568,1.41584
2021-06-01 14:30:00,1.41582,1.41604,1.41574,1.41592
2021-06-01 14:35:00,1.41592,1.41595,1.41577,1.41583
2021-06-01 14:40:00,1.41584,1.41605,1.41584,1.41602
2021-06-01 14:45:00,1.41599,1.4161,1.41585,1.4161
2021-06-01 14:50:00,1.4161,1.41614,1.41601,1.41613
2021-06-01 14:55:00,1.41612,1.41629,1.41579,1.41601
2021-06-01 15:00:00,1.41602,1.41622,1.41595,1.416
2021-06-01 15:05:00,1.41601,1.41602,1.41575,1.41591
2021-06-01 15:10:00,1.41589,1.41591,1.41558,1.41562
2021-06-01 15:15:00,1.41564,1.41573,1.4156,1.41571
2021-06-01 15:20:00,1.41572,1.4159,1.4157,1.41582
2021-06-01 15:25:00,1.41582,1.41582,1.4156,1.4157
2021-06-01 15:30:00,1.41567,1.41567,1.41538,1.41559
2021-06-01 15:35:00,1.4156,1.41574,1.41559,1.41561
2021-06-01 15:40:00,1.41561,1.41562,1.41548,1.41552
2021-06-01 15:45:00,1.41553,1.41576,1.4155,1.41572
2021-06-01 15:50:00,1.41571,1.41573,1.4155,1.41569
2021-06-01 15:55:00,1.41569,1.41571,1.41507,1.41513
2021-06-01 16:00:00,1.41512,1.41515,1.41461,1.41514
2021-06-01 16:05:00,1.41513,1.41521,1.41492,1.4152
2021-06-01 16:10:00,1.4152,1.41525,1.41503,1.41503
2021-06-01 16:15:00,1.41504,1.41522,1.41504,1.41515
2021-06-01 16:20:00,1.41514,1.41514,1.41483,1.41484
2021-06-01 16:25:00,1.41483,1.41496,1.41483,1.41494
2021-06-01 16:30:00,1.41494,1.41505,1.41488,1.41493
2021-06-01 16:35:00,1.41494,1.41494,1.41488,1.41492
2021-06-01 16:40:00,1.41492,1.41492,1.41472,1.41482
2021-06-01 16:45:00,1.41482,1.41492,1.41479,1.41481
2021-06-01 16:50:00,1.41481,1.41493,1.41473,1.41477
2021-06-01 16:55:00,1.41474,1.41492,1.41469,1.41473
2021-06-01 17:00:00,1.41468,1.41493,1.41459,1.4148
